scene,time,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW
0,0,-0.03588843,-0.9934204,-0.07537954,-0.07839754
0,0.0122583,-0.03570642,-0.9934412,-0.07538949,-0.07820681
0,0.0245166,-0.03577754,-0.9934319,-0.07540857,-0.07827413
0,0.040204,-0.03573669,-0.9934225,-0.0754761,-0.07834595
0,0.0513268,-0.0358016,-0.993412,-0.07547052,-0.07845598
0,0.062692,-0.03588161,-0.9933889,-0.07542267,-0.07875592
0,0.0738795,-0.03589826,-0.9933746,-0.07553536,-0.07882217
0,0.0845519,-0.03581277,-0.9933612,-0.07559597,-0.07897058
0,0.0979381,-0.03583361,-0.9933463,-0.07568721,-0.07906154
0,0.1100277,-0.03604093,-0.9932693,-0.07607613,-0.07955879
0,0.1230318,-0.03628116,-0.9932146,-0.07639372,-0.07982892
0,0.1361325,-0.03632952,-0.9931559,-0.07663681,-0.08030319
0,0.1492612,-0.03634452,-0.9931028,-0.07700634,-0.08059844
0,0.1604812,-0.03637887,-0.9930276,-0.07740404,-0.08112663
0,0.1716025,-0.03643309,-0.9929503,-0.07782432,-0.08164582
0,0.1833385,-0.03641455,-0.9928592,-0.07830326,-0.08229971
0,0.1956725,-0.03647953,-0.9927486,-0.07880854,-0.08311978
0,0.2075243,-0.03656869,-0.9926354,-0.07924338,-0.08401373
0,0.2213495,-0.0367122,-0.9925059,-0.07953682,-0.08519533
0,0.2328099,-0.0367818,-0.9923866,-0.07988939,-0.08622041
0,0.2442265,-0.03698806,-0.9921634,-0.08056461,-0.08805308
0,0.2572839,-0.03723346,-0.9920399,-0.0811094,-0.08883694
0,0.2694467,-0.0373354,-0.9919215,-0.08172943,-0.08954442
0,0.2841621,-0.03726583,-0.9918005,-0.08242773,-0.09027046
0,0.2949218,-0.03717798,-0.9916633,-0.08312832,-0.09116706
0,0.306908,-0.03709244,-0.9915414,-0.08367936,-0.09202084
0,0.3177295,-0.03697791,-0.9914311,-0.08415057,-0.09282163
0,0.3293619,-0.03685861,-0.9913334,-0.08444537,-0.09364167
0,0.3412966,-0.03668004,-0.991254,-0.08468101,-0.09433642
0,0.3538586,-0.0366291,-0.9911915,-0.08482613,-0.09488133
0,0.3648458,-0.03674349,-0.9911228,-0.0850699,-0.09533522
0,0.3759739,-0.0367582,-0.9910641,-0.08541197,-0.09563327
0,0.3873174,-0.0366986,-0.9910347,-0.08570383,-0.09569973
0,0.3985272,-0.03690427,-0.9909948,-0.0859107,-0.09584892
0,0.4097302,-0.03697416,-0.9909735,-0.08613563,-0.09584057
0,0.4213895,-0.03699885,-0.9909277,-0.08631521,-0.09614152
0,0.43352,-0.03706437,-0.9909081,-0.08638317,-0.09625682
0,0.4445992,-0.03707024,-0.9908859,-0.08638098,-0.09648666
0,0.4561105,-0.03714464,-0.9908693,-0.08646011,-0.09655648
0,0.4694008,-0.03713357,-0.9908555,-0.08651969,-0.09664911
0,0.4818393,-0.03707794,-0.9908321,-0.08666138,-0.09678349
0,0.4942315,-0.03693353,-0.9908059,-0.08692308,-0.09687248
0,0.504922,-0.03684238,-0.990764,-0.08730411,-0.09699285
0,0.5158468,-0.03686098,-0.9907013,-0.08758982,-0.0973675
0,0.527172,-0.0369571,-0.9906047,-0.0881089,-0.0978443
0,0.5374081,-0.03697906,-0.9905388,-0.088634,-0.09802893
0,0.5488542,-0.03689133,-0.9904704,-0.08917996,-0.09825695
0,0.561094,-0.03655791,-0.9904449,-0.08961877,-0.09823954
0,0.5722473,-0.03638047,-0.9904016,-0.09001853,-0.09837678
0,0.5828843,-0.03634873,-0.9903433,-0.09025286,-0.09876037
0,0.5952516,-0.036343,-0.9902729,-0.09038384,-0.09934631
0,0.6051338,-0.03654768,-0.9901956,-0.09058267,-0.09985921
0,0.6159636,-0.03687403,-0.9901402,-0.09058738,-0.1002827
0,0.62661,-0.03709166,-0.990088,-0.09082812,-0.1005013
0,0.6379166,-0.03713518,-0.9900653,-0.0910866,-0.1004743
0,0.6493775,-0.03725272,-0.9900547,-0.09117088,-0.1004589
0,0.6601249,-0.03735798,-0.9900193,-0.09125063,-0.1006954
0,0.6776743,-0.03740525,-0.9900096,-0.09118553,-0.1008323
0,0.690218,-0.03748753,-0.990021,-0.09103817,-0.1008238
0,0.7007719,-0.03759535,-0.9900078,-0.09111977,-0.1008395
0,0.7132246,-0.03754862,-0.9900082,-0.09122758,-0.1007555
0,0.7252569,-0.0378616,-0.9899774,-0.09123456,-0.100935
0,0.7379922,-0.03803852,-0.9899694,-0.09128305,-0.1009028
0,0.7496143,-0.03817838,-0.9899636,-0.09137145,-0.1008261
0,0.7608805,-0.03842776,-0.9899513,-0.0915183,-0.1007196
0,0.7718832,-0.03842086,-0.989975,-0.09151585,-0.1004907
0,0.7836291,-0.03847345,-0.9900196,-0.09132306,-0.1002068
0,0.7949067,-0.03863242,-0.9900209,-0.09113517,-0.100303
0,0.807955,-0.03868498,-0.9899982,-0.09129284,-0.1003645
0,0.8199183,-0.03890245,-0.989949,-0.09137821,-0.100686
0,0.8316353,-0.03911176,-0.9898984,-0.09171532,-0.1007959
0,0.8420991,-0.03928182,-0.9898591,-0.09206488,-0.1007968
0,0.852785,-0.03932435,-0.9898408,-0.09230864,-0.1007378
1,0,-0.0471371,-0.9920283,-0.06798529,-0.09505871
1,0.011269,-0.04703238,-0.9920253,-0.06811743,-0.09504697
1,0.022538,-0.04711243,-0.9920036,-0.06812762,-0.09522748
1,0.0354676,-0.04712388,-0.9919558,-0.06808564,-0.09574836
1,0.0468243,-0.04726461,-0.9919357,-0.06811364,-0.09586567
1,0.0592855,-0.04739884,-0.9919081,-0.06834278,-0.09592319
1,0.0703506,-0.04737949,-0.9918776,-0.06858499,-0.09607464
1,0.0816583,-0.04748923,-0.9918507,-0.06841976,-0.09641546
1,0.092732,-0.04778399,-0.9918042,-0.06822631,-0.0968833
1,0.1042,-0.04812326,-0.9917265,-0.06839361,-0.09739256
1,0.1155105,-0.04847676,-0.9916868,-0.06812955,-0.09780556
1,0.1262013,-0.04884931,-0.9916389,-0.0678302,-0.09831244
1,0.1376701,-0.04912504,-0.9916288,-0.06733368,-0.09861836
1,0.1484756,-0.04931655,-0.9916321,-0.06697559,-0.09873229
1,0.1598138,-0.04954225,-0.991618,-0.06661898,-0.09900206
1,0.1707778,-0.04993159,-0.991586,-0.06615438,-0.09943822
1,0.1829509,-0.05047514,-0.9915169,-0.06576474,-0.1001076
1,0.1933589,-0.05086208,-0.9914531,-0.06519826,-0.1009122
1,0.2044622,-0.05115045,-0.9913807,-0.06465331,-0.1018241
1,0.2159748,-0.05153418,-0.9912858,-0.06376286,-0.1031075
1,0.2273362,-0.05184084,-0.9911859,-0.06299165,-0.1043807
1,0.2378062,-0.05227027,-0.9910588,-0.06228201,-0.1057892
1,0.2495232,-0.05251864,-0.9909648,-0.0612412,-0.1071462
1,0.26055,-0.05283593,-0.9908631,-0.06026364,-0.1084762
1,0.2712348,-0.05319285,-0.9907257,-0.05943656,-0.1100027
1,0.2828045,-0.05331642,-0.9906218,-0.05840474,-0.1114221
1,0.2936426,-0.05307176,-0.9905674,-0.05755004,-0.1124626
1,0.3051643,-0.05291194,-0.9905015,-0.0568116,-0.1134892
1,0.316866,-0.05292245,-0.9904004,-0.05633402,-0.1145985
1,0.3274748,-0.05310999,-0.9903375,-0.05566986,-0.1153782
1,0.3384952,-0.05327669,-0.9902674,-0.05520498,-0.116124
1,0.3495576,-0.05317716,-0.9902384,-0.05441326,-0.1167881
1,0.360837,-0.05322123,-0.9902099,-0.05340406,-0.117473
1,0.372514,-0.05322746,-0.9901398,-0.05247974,-0.1184745
1,0.3837802,-0.05355903,-0.9900475,-0.05167292,-0.1194468
1,0.3943763,-0.05393724,-0.9899351,-0.05107049,-0.1204626
1,0.4052584,-0.05435633,-0.9898519,-0.05080555,-0.1210687
1,0.4172626,-0.05476554,-0.9898344,-0.05016385,-0.1212944
1,0.4275477,-0.05517031,-0.9898226,-0.04932211,-0.1215526
1,0.4391149,-0.05552477,-0.9897999,-0.0484604,-0.1219223
1,0.4515405,-0.05586341,-0.9898099,-0.0473413,-0.1221262
1,0.4616808,-0.0559689,-0.9898124,-0.04664736,-0.1223234
1,0.4725717,-0.05597681,-0.9898298,-0.04609558,-0.1223889
1,0.4836579,-0.05598321,-0.9898427,-0.04543688,-0.1225281
1,0.4956033,-0.05619183,-0.9898009,-0.0450229,-0.1229222
1,0.5059595,-0.05644718,-0.98975,-0.04495668,-0.1232384
1,0.51741,-0.05662682,-0.989695,-0.04493512,-0.123605
1,0.5288566,-0.05680061,-0.9896395,-0.04498126,-0.1239519
1,0.5406507,-0.05710762,-0.9895654,-0.04521143,-0.1243186
1,0.5521372,-0.05732688,-0.9895103,-0.04540982,-0.1245845
1,0.5636191,-0.05747982,-0.9894491,-0.04575316,-0.1248729
1,0.5760004,-0.05748837,-0.9894258,-0.04613309,-0.1249148
1,0.5865524,-0.05748986,-0.989407,-0.04636255,-0.1249776
1,0.5984113,-0.05732635,-0.9894019,-0.0464205,-0.1250716
1,0.6095018,-0.05739136,-0.9893691,-0.04662831,-0.125224
1,0.6209269,-0.05762467,-0.9893373,-0.04692189,-0.1252581
1,0.6323726,-0.05786629,-0.9893029,-0.04716222,-0.1253287
1,0.6440018,-0.05809701,-0.9892803,-0.04746648,-0.1252849
1,0.6554291,-0.05809671,-0.9893216,-0.04743021,-0.1249721
1,0.6671948,-0.05801561,-0.9893694,-0.04724043,-0.1247031
1,0.678501,-0.05793914,-0.9894198,-0.047169,-0.1243659
1,0.6899583,-0.05794843,-0.9894571,-0.04686395,-0.1241798
1,0.7006475,-0.0579062,-0.9894749,-0.04673887,-0.1241048
1,0.7121767,-0.05802612,-0.9894705,-0.04661942,-0.1241287
1,0.7231736,-0.05818009,-0.9894478,-0.04673542,-0.1241932
1,0.7346569,-0.05821023,-0.9894361,-0.04712371,-0.1241263
1,0.7458248,-0.05838363,-0.9894156,-0.04744008,-0.124087
1,0.7565874,-0.05847435,-0.9894062,-0.04768661,-0.1240252
1,0.7685309,-0.05849242,-0.9894233,-0.04790157,-0.1237972
1,0.7790606,-0.0583894,-0.9894725,-0.04780061,-0.1234916
