scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
0,0,-1.02621,1.197111,-0.06215698
0,0.0108146,-1.026171,1.19707,-0.06210309
0,0.0216292,-1.026219,1.197143,-0.06225979
0,0.0369987,-1.02624,1.197114,-0.06224513
0,0.0474625,-1.026315,1.197154,-0.06219786
0,0.0581562,-1.026335,1.19716,-0.06216705
0,0.0673441,-1.02636,1.197181,-0.06215
0,0.0780343,-1.026424,1.197212,-0.06222486
0,0.0883676,-1.02646,1.197196,-0.06220561
0,0.1052962,-1.026537,1.197202,-0.06217581
0,0.1150379,-1.026623,1.197118,-0.0620482
0,0.12394,-1.02671,1.19721,-0.06207693
0,0.1343176,-1.026785,1.197191,-0.06203163
0,0.1449529,-1.026872,1.197202,-0.0620181
0,0.1554929,-1.026934,1.197192,-0.06198704
0,0.1674069,-1.027032,1.197159,-0.06196731
0,0.1792497,-1.027116,1.197135,-0.06200433
0,0.1914899,-1.027205,1.197105,-0.06197512
0,0.2029502,-1.02727,1.197056,-0.06192446
0,0.2153583,-1.027289,1.197034,-0.0619598
0,0.2258252,-1.027352,1.196989,-0.06192899
0,0.2361652,-1.027423,1.196966,-0.06192124
0,0.2464876,-1.027462,1.19696,-0.06200677
0,0.2576669,-1.027517,1.196936,-0.06200367
0,0.269495,-1.027535,1.196914,-0.06198668
0,0.2798395,-1.027559,1.196897,-0.06215328
0,0.2916296,-1.027562,1.196877,-0.06215936
0,0.3033919,-1.027491,1.196831,-0.06212968
0,0.3140077,-1.02749,1.196903,-0.06224859
0,0.3245668,-1.027459,1.1969,-0.06225985
0,0.3357772,-1.02739,1.196856,-0.062244
0,0.347216,-1.027319,1.196964,-0.06230432
0,0.3582068,-1.027236,1.196931,-0.06230605
0,0.3693035,-1.027133,1.196834,-0.06224138
0,0.3807491,-1.027053,1.196892,-0.06235641
0,0.3915966,-1.026952,1.196839,-0.06236923
0,0.4030823,-1.02684,1.196707,-0.06229979
0,0.4140787,-1.02673,1.196679,-0.06238753
0,0.4254513,-1.026571,1.196609,-0.06237519
0,0.4361126,-1.026397,1.196563,-0.06238216
0,0.4481171,-1.026236,1.196576,-0.06239229
0,0.4585008,-1.026088,1.196583,-0.0624153
0,0.4698588,-1.02597,1.196601,-0.06243896
0,0.481254,-1.025859,1.196618,-0.06245244
0,0.492864,-1.025735,1.196623,-0.06244749
0,0.5039891,-1.025656,1.196571,-0.06235808
0,0.515357,-1.025575,1.196635,-0.06247282
0,0.526908,-1.0255,1.196623,-0.06246448
0,0.5382243,-1.025422,1.196575,-0.06240779
0,0.5497947,-1.025368,1.196652,-0.06250066
0,0.5617973,-1.025324,1.196641,-0.06249374
0,0.5739186,-1.025224,1.196587,-0.06242383
0,0.5845312,-1.025211,1.196635,-0.06249511
0,0.5947446,-1.025178,1.196633,-0.06244057
0,0.6065623,-1.025178,1.196546,-0.06231815
0,0.6171148,-1.025183,1.1966,-0.06233627
0,0.6289573,-1.025167,1.196558,-0.06228203
0,0.6400956,-1.025058,1.196478,-0.06218964
0,0.652173,-1.025043,1.196511,-0.06223398
0,0.6635242,-1.025003,1.19648,-0.06218302
0,0.6749656,-1.024974,1.19639,-0.06206107
0,0.6872931,-1.024965,1.196464,-0.06211764
0,0.6986297,-1.024904,1.196468,-0.06208098
0,0.7104182,-1.024823,1.196408,-0.0620023
0,0.7221252,-1.02479,1.196491,-0.06205469
0,0.7338512,-1.024701,1.196513,-0.06205332
0,0.7466438,-1.024507,1.196543,-0.06213629
0,0.7592283,-1.024451,1.19655,-0.06213951
1,0,-1.028,1.196486,-0.06231582
1,0.0112326,-1.027992,1.196476,-0.06234038
1,0.0224652,-1.028142,1.196394,-0.06226647
1,0.0344852,-1.028275,1.196391,-0.06236506
1,0.0464146,-1.028394,1.196307,-0.06234246
1,0.0591255,-1.028532,1.196198,-0.06226069
1,0.0707489,-1.028655,1.196191,-0.06233639
1,0.0818012,-1.028764,1.196149,-0.06230527
1,0.092986,-1.028781,1.196122,-0.06227088
1,0.1053325,-1.028873,1.196173,-0.06233352
1,0.1163526,-1.028951,1.196169,-0.06233966
1,0.1285947,-1.028983,1.196155,-0.06232721
1,0.1416909,-1.029139,1.196167,-0.0623107
1,0.1539572,-1.029177,1.196127,-0.06224054
1,0.1669538,-1.029248,1.196181,-0.06225997
1,0.1782575,-1.0293,1.196141,-0.06222916
1,0.1893671,-1.029353,1.196072,-0.06213576
1,0.2008292,-1.029425,1.196106,-0.06219584
1,0.2124543,-1.029465,1.196082,-0.06217456
1,0.2241418,-1.029463,1.196032,-0.06212896
1,0.2356685,-1.029511,1.196076,-0.06220371
1,0.2478505,-1.02952,1.196074,-0.06219083
1,0.2601325,-1.029537,1.196054,-0.06216025
1,0.2712547,-1.029563,1.196147,-0.06221801
1,0.2831738,-1.029546,1.196158,-0.06223571
1,0.2949117,-1.029457,1.196167,-0.06225997
1,0.305725,-1.029456,1.196229,-0.06235665
1,0.3184768,-1.029431,1.196239,-0.06237835
1,0.3305008,-1.02935,1.196225,-0.06240314
1,0.3412385,-1.029354,1.196217,-0.06262052
1,0.3523423,-1.02932,1.196186,-0.06265658
1,0.362182,-1.029283,1.196103,-0.06266177
1,0.3719619,-1.02927,1.19611,-0.06277817
1,0.3822935,-1.029228,1.196044,-0.06280524
1,0.3923201,-1.029227,1.195983,-0.06276578
1,0.4028054,-1.029226,1.195995,-0.0629099
1,0.4133547,-1.029208,1.195974,-0.06292707
1,0.4240349,-1.029121,1.195918,-0.06290025
1,0.4346525,-1.029102,1.195934,-0.06301308
1,0.4465225,-1.029064,1.195913,-0.0630132
1,0.456869,-1.029022,1.195864,-0.06294614
1,0.4684093,-1.028982,1.195927,-0.06305045
1,0.4794591,-1.028949,1.195956,-0.06306398
1,0.4911483,-1.028912,1.195894,-0.06299245
1,0.5019041,-1.028882,1.195979,-0.06299877
