scene,time,headsetLocationX,headsetLocationY,headsetLocationZ,headsetRotationX,headsetRotationY,headsetRotationZ,headsetRotationW,headsetRotationEulerX,headsetRotationEulerY,headsetRotationEulerZ
0,0,0.0156324,2.010082,-0.0007671195,-0.08026265,-0.02517097,0.008117115,0.9964228,350.8197,357.0117,1.173445
0,0.0117935,0.01556328,2.010158,-0.0007344153,-0.08052028,-0.02518006,0.008110357,0.9964018,350.79,357.0103,1.17358
0,0.023587,0.0155658,2.010164,-0.0007584093,-0.08074474,-0.02522645,0.00822052,0.9963816,350.7646,357.0035,1.187482
0,0.0398114,0.01554358,2.010177,-0.0007771436,-0.08113384,-0.0252699,0.008254586,0.9963486,350.7201,356.9975,1.193093
0,0.0522889,0.01545552,2.010245,-0.0007812883,-0.08123817,-0.02538866,0.008458916,0.9963353,350.7089,356.9816,1.218189
0,0.0644982,0.01546022,2.010286,-0.0007645005,-0.08124156,-0.02543918,0.008522009,0.9963332,350.7087,356.9752,1.225975
0,0.0753525,0.01543848,2.010312,-0.000820621,-0.0815165,-0.02546828,0.008487629,0.9963104,350.677,356.9716,1.223173
0,0.0860811,0.01537895,2.010387,-0.0008307574,-0.08155632,-0.02550185,0.008326094,0.9963076,350.672,356.9692,1.20493
0,0.096979,0.01538606,2.010419,-0.0008462614,-0.08156918,-0.0254356,0.008073977,0.9963104,350.6697,356.9792,1.175175
0,0.1085836,0.0153917,2.010434,-0.0008704796,-0.08165969,-0.02536195,0.007991533,0.9963055,350.659,356.9884,1.165234
0,0.1193432,0.01532026,2.010475,-0.000851895,-0.08164575,-0.02534681,0.00812751,0.9963059,350.6609,356.9889,1.18078
0,0.1304748,0.01536361,2.010489,-0.000867929,-0.08167127,-0.02525247,0.008321855,0.9963046,350.6585,356.9979,1.202458
0,0.1424465,0.01539756,2.010498,-0.0009068587,-0.08179438,-0.02522582,0.008385848,0.9962946,350.6445,357.0002,1.210011
0,0.1540668,0.01543897,2.010569,-0.0008973817,-0.08194357,-0.02528123,0.008468768,0.9962803,350.6277,356.9927,1.220617
0,0.1649831,0.01549183,2.010584,-0.0009306063,-0.08204766,-0.02502746,0.00847986,0.996278,350.6154,357.0218,1.219828
0,0.1762964,0.01556993,2.010594,-0.000919671,-0.08216483,-0.0249846,0.008368362,0.9962703,350.6016,357.0276,1.206896
0,0.1874559,0.01559617,2.010647,-0.0009014202,-0.08237805,-0.02490897,0.00833423,0.9962549,350.5769,357.0364,1.202911
0,0.1986107,0.01564407,2.010673,-0.0008983464,-0.08251681,-0.02486696,0.008312369,0.9962447,350.5608,357.0412,1.200426
0,0.2090321,0.01571584,2.010677,-0.0009455532,-0.08277974,-0.02487548,0.008410359,0.996222,350.5309,357.0388,1.212693
0,0.2205947,0.01571519,2.010751,-0.000955425,-0.08292047,-0.02492775,0.008463104,0.9962084,350.515,357.032,1.219753
0,0.2299983,0.01577897,2.01081,-0.0009736823,-0.08319873,-0.02503637,0.008516417,0.9961821,350.4833,357.0184,1.227868
0,0.2409773,0.01587969,2.010834,-0.0009877265,-0.08361632,-0.02506712,0.008465111,0.9961468,350.4352,357.0146,1.22358
0,0.2523301,0.01592247,2.010955,-0.0009698979,-0.08405814,-0.02520327,0.008426776,0.9961064,350.3844,356.9985,1.221903
0,0.2630654,0.01599271,2.011069,-0.0009758265,-0.08448457,-0.02517912,0.008256469,0.9960724,350.3348,357.0022,1.203338
0,0.2736473,0.01611766,2.011132,-0.001004101,-0.0850479,-0.02512509,0.008135179,0.9960268,350.2697,357.0087,1.190594
0,0.2833878,0.0161376,2.011264,-0.0009835564,-0.08562226,-0.02511568,0.008164174,0.9959776,350.2037,357.0085,1.195727
0,0.2930043,0.01621569,2.011369,-0.0009752463,-0.08629823,-0.02509325,0.008232734,0.9959192,350.1262,357.0092,1.205647
0,0.3045706,0.01634414,2.011474,-0.0009587451,-0.08704082,-0.02511442,0.008415516,0.9958526,350.0414,357.0036,1.22946
0,0.3148611,0.01639433,2.011708,-0.0009258025,-0.08815122,-0.02516425,0.008505943,0.9957528,349.914,356.9949,1.244086
0,0.3250604,0.01646665,2.011972,-0.0009080758,-0.08942406,-0.02509794,0.008482632,0.9956412,349.7675,357.0005,1.244882
0,0.3356884,0.01661837,2.01224,-0.0008775685,-0.0913089,-0.02478541,0.008472102,0.995478,349.5503,357.0335,1.246548
0,0.3462734,0.01669012,2.012632,-0.0008133317,-0.09318316,-0.02445583,0.00864416,0.9953111,349.3348,357.0665,1.269067
0,0.3573569,0.01678343,2.012982,-0.0007355799,-0.09546825,-0.02390626,0.008916377,0.9951054,349.072,357.123,1.301992
0,0.3683671,0.01696393,2.013292,-0.0006975107,-0.09738479,-0.02342373,0.009242197,0.9949282,348.8517,357.1718,1.340518
0,0.3793053,0.01706827,2.01364,-0.0006265035,-0.09915562,-0.02289605,0.009461917,0.9947635,348.6478,357.2272,1.365575
0,0.3905596,0.01725583,2.013933,-0.0005555565,-0.1007769,-0.02244848,0.009722073,0.9946083,348.4612,357.2731,1.395641
0,0.4018095,0.0175606,2.0141,-0.0005534281,-0.102322,-0.02201086,0.009923602,0.9944583,348.2833,357.3185,1.418643
0,0.4128152,0.017823,2.014398,-0.0004859445,-0.103604,-0.02162648,0.01024202,0.9943308,348.136,357.3569,1.454982
0,0.4240562,0.01803637,2.014628,-0.0004240301,-0.1047831,-0.02121753,0.01053087,0.994213,348.0003,357.3986,1.48719
0,0.4353203,0.01836954,2.01475,-0.0003096535,-0.1060334,-0.02075087,0.01063545,0.9940891,347.8559,357.449,1.497339
0,0.4467072,0.01853026,2.014951,-0.0002443949,-0.1071474,-0.02028218,0.01061796,0.9939796,347.7267,357.5016,1.492713
0,0.4574643,0.0187419,2.015152,-0.0001784381,-0.1083436,-0.01987813,0.01061543,0.9938581,347.5883,357.5463,1.490766
0,0.4686375,0.01902409,2.015296,-0.0001423201,-0.109529,-0.01953004,0.01060363,0.9937351,347.4512,357.5846,1.488315
0,0.4800162,0.01924869,2.015526,-7.538822E-05,-0.1106302,-0.0192915,0.01056261,0.9936182,347.3238,357.6107,1.483548
0,0.4911753,0.01945722,2.015701,-2.448017E-05,-0.1117835,-0.01904832,0.01043731,0.9934952,347.1902,357.6383,1.468963
0,0.5020637,0.01972065,2.015836,2.759536E-05,-0.112809,-0.01888274,0.01041197,0.9933827,347.0717,357.6559,1.46666
0,0.5133115,0.01999866,2.016041,5.82835E-05,-0.1138454,-0.01858824,0.01023133,0.9932719,346.9514,357.6906,1.444481
0,0.5244824,0.02022656,2.016191,0.0001053712,-0.1147103,-0.01842285,0.01005949,0.9931772,346.851,357.7104,1.424525
0,0.535695,0.02045965,2.016312,0.0001609745,-0.1156669,-0.01829391,0.009849118,0.9930708,346.74,357.7265,1.400762
0,0.5470659,0.02073486,2.016491,0.0002150484,-0.1164558,-0.01820632,0.009704448,0.9929816,346.6486,357.7371,1.384762
0,0.5580484,0.02095234,2.016597,0.0002630007,-0.1172968,-0.01805343,0.009514223,0.9928871,346.5509,357.756,1.362648
0,0.5690587,0.02118469,2.0167,0.0003593794,-0.1180758,-0.01792942,0.00936386,0.9927986,346.4605,357.7711,1.345396
0,0.5804425,0.02140162,2.016831,0.0004160778,-0.1187958,-0.01777992,0.009210722,0.9927168,346.3769,357.7893,1.327278
0,0.5914944,0.0216244,2.016922,0.0004811412,-0.1195343,-0.01766698,0.009219049,0.99263,346.2916,357.801,1.328597
0,0.6032441,0.0218872,2.01698,0.0005573523,-0.1202077,-0.01760981,0.009054621,0.9925513,346.2134,357.8087,1.310286
0,0.6139321,0.02214106,2.017112,0.000611224,-0.1208385,-0.01741333,0.009017604,0.9924784,346.1403,357.8311,1.304791
0,0.6250356,0.02236207,2.017185,0.0006800295,-0.1215521,-0.01728838,0.008984261,0.9923939,346.0577,357.8448,1.300932
0,0.6364775,0.02260035,2.01726,0.0007714732,-0.1220403,-0.0171173,0.008901229,0.9923376,346.001,357.8652,1.28999
0,0.6475102,0.02280331,2.017329,0.0008520908,-0.1225145,-0.01687763,0.008861426,0.9922836,345.9458,357.8929,1.283067
0,0.6586685,0.0230297,2.017389,0.0009426652,-0.122992,-0.01674189,0.008782342,0.9922276,345.8904,357.9091,1.273025
0,0.670168,0.02323517,2.017454,0.0009523361,-0.1233862,-0.01648247,0.00875593,0.9921832,345.8445,357.9392,1.267135
0,0.6825774,0.02342247,2.017505,0.001039082,-0.1237345,-0.0162384,0.008794187,0.9921435,345.804,357.9666,1.268916
0,0.693245,0.02363116,2.017565,0.001112727,-0.1240575,-0.01591231,0.00881201,0.9921083,345.7664,358.004,1.267018
