scene,time,controllerLocationX,controllerLocationY,controllerLocationZ,controllerRotationX,controllerRotationY,controllerRotationZ,controllerRotationW,controllerRotationEulerX,controllerRotationEulerY,controllerRotationEulerZ
0,0,-0.6933476,1.709064,0.3116929,0.05743567,0.03429048,0.4867876,-0.8709553,352.332,359.7796,301.6121
0,0.0126315,-0.693316,1.709074,0.3116727,0.0575646,0.03435735,0.4860134,-0.8713764,352.3156,359.7733,301.7137
0,0.025263,-0.6932826,1.709069,0.3115976,0.05756507,0.03460308,0.4853744,-0.8717227,352.3019,359.7429,301.7993
0,0.0376737,-0.6933071,1.709044,0.3115655,0.05753841,0.03478234,0.4855819,-0.8716018,352.2946,359.7252,301.7729
0,0.0502244,-0.6932928,1.708961,0.3116263,0.05743116,0.0344273,0.4856007,-0.8716125,352.3251,359.755,301.7695
0,0.0629385,-0.6933225,1.70881,0.3117161,0.05702,0.03391001,0.4858444,-0.871524,352.3953,359.7861,301.7379
0,0.09121811,-0.6933128,1.708731,0.3117281,0.056567,0.03389974,0.4861913,-0.8713604,352.4412,359.7646,301.6953
0,0.09843791,-0.6933075,1.708694,0.3117294,0.05623793,0.03392627,0.4862636,-0.8713404,352.4727,359.744,301.6882
0,0.1061466,-0.6933042,1.708717,0.3117012,0.05606545,0.03414533,0.4864796,-0.8712224,352.4777,359.7141,301.6619
0,0.1139816,-0.6932754,1.708816,0.3116988,0.05616625,0.03434099,0.4864048,-0.8712499,352.4566,359.6995,301.672
0,0.1262242,-0.693211,1.708986,0.3117432,0.0566587,0.03450572,0.4864722,-0.8711739,352.398,359.7112,301.6603
0,0.1384235,-0.6931401,1.709116,0.311816,0.05717101,0.03436542,0.4861751,-0.8713117,352.3546,359.7517,301.6953
0,0.1506115,-0.6930616,1.709226,0.3118521,0.05754974,0.03431834,0.4858501,-0.87147,352.3193,359.7749,301.7352
0,0.1631293,-0.6926403,1.709346,0.3118483,0.05776194,0.03458434,0.4855799,-0.871596,352.2832,359.7577,301.7706
0,0.1755042,-0.6921672,1.709513,0.3118346,0.05794801,0.03504661,0.485493,-0.8716136,352.2387,359.7209,301.7829
0,0.1883223,-0.6917799,1.709748,0.3118376,0.05835178,0.03556798,0.4855248,-0.8715478,352.169,359.6914,301.7782
0,0.2010316,-0.6915796,1.710017,0.3118801,0.05874268,0.03586568,0.4859077,-0.8712959,352.113,359.687,301.7262
0,0.2132737,-0.6913059,1.71051,0.3119632,0.05968035,0.03641192,0.4865811,-0.8708336,351.9881,359.6911,301.6328
0,0.2362892,-0.6910644,1.711078,0.3120484,0.06071613,0.03704717,0.4868594,-0.8705797,351.8486,359.6883,301.5912
0,0.2436237,-0.6908708,1.711638,0.3120944,0.06176839,0.03782243,0.4868064,-0.8705019,351.6996,359.6693,301.594
0,0.251313,-0.6905398,1.712693,0.3122701,0.06420493,0.03886699,0.4862921,-0.8705671,351.3968,359.6971,301.648
0,0.2622558,-0.6902586,1.713705,0.3125148,0.06689887,0.03961257,0.4856314,-0.8706995,351.0848,359.7677,301.717
0,0.2746461,-0.689951,1.71485,0.3128253,0.07008577,0.04033571,0.4849105,-0.8708174,350.7245,359.8677,301.7887
0,0.2873428,-0.6896033,1.716388,0.3132042,0.07434849,0.04143185,0.483694,-0.8710889,350.2349,359.985,301.9166
0,0.2997833,-0.6893025,1.7178,0.3135268,-0.07823259,-0.04256601,-0.482676,0.8712587,349.7809,0.078594,302.0202
0,0.31212,-0.6889784,1.71929,0.3138428,-0.08226247,-0.04384455,-0.4816881,0.8713709,349.3038,0.1655956,302.1174
0,0.3249284,-0.6885929,1.720824,0.3141508,-0.08616392,-0.04530635,-0.4805845,0.8715283,348.8291,0.2246473,302.231
0,0.3374099,-0.6882221,1.722551,0.3145005,-0.09054948,-0.04677027,-0.4796975,0.871495,348.3052,0.3131847,302.3085
0,0.3501461,-0.6878924,1.724032,0.3148552,-0.0943436,-0.04781639,-0.4793864,0.871207,347.8641,0.4183376,302.3115
0,0.362917,-0.6875791,1.725453,0.3152201,-0.09794948,-0.04863492,-0.4789104,0.8710255,347.4544,0.5337731,302.3353
0,0.3753553,-0.6870447,1.727504,0.3158386,-0.103344,-0.04945084,-0.4774496,0.8711581,346.8631,0.7368852,302.4641
0,0.3977964,-0.6868088,1.728358,0.3162072,-0.1057688,-0.04903911,-0.4761664,0.8715925,346.6396,0.8976842,302.5977
0,0.4049669,-0.6864973,1.729545,0.3166502,-0.1089126,-0.048971,-0.475021,0.8718343,346.3239,1.066337,302.7044
0,0.4124676,-0.6861638,1.730692,0.3171358,-0.1119407,-0.04889028,-0.4745109,0.8717329,346.0212,1.239771,302.7264
0,0.4249713,-0.6858594,1.731731,0.3175961,-0.1144379,-0.04876239,-0.4745064,0.8714184,345.7755,1.396158,302.6873
0,0.437404,-0.6854782,1.732853,0.318177,-0.1166385,-0.04839557,-0.4749163,0.8709236,345.5737,1.567336,302.5942
0,0.4499368,-0.6851827,1.733727,0.3185995,-0.118084,-0.04833595,-0.4754375,0.8704476,345.4317,1.665819,302.5004
0,0.4627218,-0.6849313,1.734612,0.3189779,-0.1194448,-0.04846292,-0.4758607,0.8700235,345.2879,1.738927,302.4225
0,0.4754595,-0.6847023,1.73549,0.3193026,-0.1207969,-0.04885279,-0.4762256,0.8696152,345.1302,1.783868,302.3545
0,0.4882079,-0.6844542,1.736549,0.3196992,-0.1225941,-0.04925546,-0.4763983,0.8692464,344.9264,1.850284,302.3045
0,0.5000639,-0.6842282,1.737472,0.3201621,-0.124357,-0.04914868,-0.4765765,0.8689043,344.7545,1.967254,302.2489
0,0.5127701,-0.6840083,1.738436,0.3207624,-0.1265709,-0.04866939,-0.4768305,0.8684721,344.5581,2.150489,302.1708
0,0.525622,-0.683638,1.740093,0.3217711,-0.1304679,-0.04797062,-0.4769946,0.8678439,344.2039,2.454153,302.0703
0,0.548473,-0.6835383,1.740714,0.3220799,-0.132041,-0.04797857,-0.4766363,0.8678024,344.0435,2.539397,302.0889
0,0.5563818,-0.6833176,1.741788,0.3225708,-0.1346214,-0.04830123,-0.4761993,0.8676279,343.7634,2.650452,302.1013
0,0.5640544,-0.6831231,1.742917,0.3231461,-0.1374355,-0.04833806,-0.4754074,0.867619,343.4744,2.797948,302.153
