scene,time,headsetLocationX,headsetLocationY,headsetLocationZ
0,0,-1.241186,1.223643,-3.332141
0,0.0118587,-1.241326,1.223594,-3.332159
0,0.0237174,-1.241251,1.223659,-3.33188
0,0.0385844,-1.241062,1.223612,-3.331627
0,0.0490114,-1.241171,1.223718,-3.33135
0,0.0602622,-1.241132,1.223832,-3.331115
0,0.0703925,-1.240991,1.223776,-3.330899
0,0.0799845,-1.241081,1.223858,-3.330651
0,0.0900252,-1.241054,1.223815,-3.330444
0,0.1020102,-1.240892,1.223614,-3.330237
0,0.1119042,-1.240945,1.223611,-3.329971
0,0.1215211,-1.240893,1.223534,-3.329745
0,0.1332643,-1.240785,1.22338,-3.329509
0,0.1441291,-1.240876,1.223334,-3.329248
0,0.1552427,-1.240843,1.223226,-3.329026
0,0.1661706,-1.24073,1.223067,-3.32873
0,0.1778363,-1.240845,1.222989,-3.328461
0,0.188692,-1.240815,1.222904,-3.328208
0,0.1999597,-1.240739,1.222832,-3.327955
0,0.2108728,-1.240776,1.222805,-3.327696
0,0.2226548,-1.24075,1.222757,-3.32745
0,0.2333706,-1.240686,1.222663,-3.327176
0,0.2448095,-1.24076,1.222635,-3.326912
0,0.2558798,-1.240774,1.222549,-3.326641
0,0.2673075,-1.240761,1.222387,-3.326354
0,0.2781969,-1.240911,1.222299,-3.326066
0,0.2896396,-1.24097,1.222196,-3.325802
0,0.3003121,-1.241005,1.222035,-3.325484
0,0.3117194,-1.24121,1.221927,-3.325166
0,0.3228399,-1.241293,1.221717,-3.324882
0,0.3345861,-1.241311,1.221409,-3.32456
0,0.3452363,-1.241557,1.221236,-3.324198
0,0.356457,-1.2417,1.220952,-3.323845
0,0.3672238,-1.241752,1.22054,-3.32346
0,0.3786275,-1.242084,1.220292,-3.323026
0,0.3894276,-1.242262,1.219825,-3.322641
0,0.4010075,-1.242374,1.219331,-3.3222
0,0.4119499,-1.242732,1.21889,-3.321764
0,0.4239321,-1.242957,1.218396,-3.321364
0,0.4349717,-1.243086,1.217834,-3.320976
0,0.4461124,-1.243469,1.217492,-3.320605
0,0.4575524,-1.243719,1.217155,-3.320297
0,0.4686411,-1.243981,1.216749,-3.320012
0,0.4798877,-1.244229,1.216437,-3.319772
0,0.4915856,-1.244447,1.216092,-3.319545
0,0.5034271,-1.244676,1.215712,-3.319333
0,0.5143366,-1.244877,1.215375,-3.319112
0,0.5258036,-1.245076,1.215057,-3.318879
0,0.5369973,-1.245263,1.21474,-3.31865
0,0.5484474,-1.245451,1.214482,-3.318405
0,0.5597308,-1.245643,1.214262,-3.318176
0,0.5711555,-1.245924,1.214011,-3.317968
0,0.5825236,-1.246097,1.213804,-3.31774
0,0.5937172,-1.246265,1.213606,-3.317504
0,0.6056397,-1.246443,1.213397,-3.317242
0,0.6165317,-1.246593,1.213231,-3.316961
0,0.6277063,-1.246739,1.213022,-3.316689
0,0.638679,-1.247052,1.212837,-3.316382
0,0.6505353,-1.247184,1.212648,-3.316063
0,0.6610959,-1.247234,1.212372,-3.315765
0,0.672282,-1.24751,1.212341,-3.315388
0,0.6838863,-1.247655,1.212176,-3.315036
0,0.6947687,-1.247798,1.211999,-3.314672
0,0.706059,-1.248074,1.211913,-3.314316
0,0.7176237,-1.248213,1.211755,-3.313966
0,0.7281055,-1.248292,1.211509,-3.31363
0,0.7393543,-1.248623,1.211516,-3.313225
0,0.7500852,-1.248755,1.211333,-3.312873
0,0.7623113,-1.248815,1.211066,-3.312576
0,0.7727313,-1.249229,1.21101,-3.312172
0,0.7839525,-1.249403,1.210825,-3.311824
0,0.7954195,-1.249448,1.210497,-3.311557
0,0.8063489,-1.249835,1.210465,-3.311154
0,0.8171173,-1.249974,1.210245,-3.310848
